strategy,replicate,mean_concept_interest,mean_error,likely_to_try_share,likely_to_try_error_pp,mean_digital_engagement,digital_engagement_error
Simple random,1,4.8375,0.0026300000000007984,0.13,-0.24799999999999822,63.265,0.29621199999998993
Simple random,2,4.767250000000001,-0.0676199999999989,0.1425,1.0020000000000002,62.835375000000006,-0.13341300000000444
Simple random,3,4.87925,0.04438000000000031,0.14125,0.877,63.54025000000001,0.5714619999999968
Simple random,4,4.886625,0.051755000000000884,0.14125,0.877,62.30137500000001,-0.6674130000000034
Simple random,5,4.788875000000001,-0.045994999999998676,0.12125,-1.1229999999999989,62.449,-0.5197880000000126
Simple random,6,4.888875,0.05400500000000008,0.1275,-0.49799999999999844,63.530750000000005,0.5619619999999941
Simple random,7,4.65275,-0.1821199999999994,0.11625,-1.622999999999998,61.748250000000006,-1.2205380000000048
Simple random,8,4.7725,-0.06236999999999959,0.125,-0.7479999999999987,62.962999999999994,-0.00578800000001678
Simple random,9,4.874875,0.040005000000000734,0.1525,2.002000000000001,63.325375,0.35658699999999044
Simple random,10,4.78225,-0.05261999999999922,0.12375,-0.8729999999999988,62.781000000000006,-0.18778800000000473
Simple random,11,4.82775,-0.007119999999999571,0.1375,0.5020000000000024,62.665625,-0.30316300000001206
Simple random,12,4.83575,0.000880000000000436,0.12125,-1.1229999999999989,63.44625,0.4774619999999885
Simple random,13,4.8295,-0.005369999999999209,0.13375,0.1270000000000021,63.494125000000004,0.5253369999999933
Simple random,14,4.90775,0.0728800000000005,0.1325,0.002000000000002,63.309375,0.3405869999999922
Simple random,15,4.7589999999999995,-0.0758700000000001,0.11125,-2.1229999999999984,62.92162499999999,-0.04716300000001894
Simple random,16,4.886375,0.05150500000000058,0.13875,0.6270000000000026,63.785625,0.8168369999999925
Simple random,17,4.86675,0.03188000000000013,0.14625,1.3770000000000004,62.882999999999996,-0.08578800000001507
Simple random,18,4.93625,0.10138000000000069,0.12625,-0.6229999999999986,62.449125,-0.5196630000000084
Simple random,19,4.976999999999999,0.14212999999999987,0.1325,0.002000000000002,64.21300000000001,1.2442119999999974
Simple random,20,4.7675,-0.06736999999999949,0.12,-1.247999999999999,63.06924999999999,0.10046199999997896
Simple random,21,4.773875,-0.060994999999999244,0.12375,-0.8729999999999988,63.220499999999994,0.2517119999999835
Simple random,22,4.73425,-0.10061999999999927,0.1175,-1.4979999999999993,63.377250000000004,0.408461999999993
Simple random,23,4.6745,-0.16036999999999946,0.11125,-2.1229999999999984,61.851625000000006,-1.117163000000005
Simple random,24,4.793,-0.04186999999999941,0.12125,-1.1229999999999989,62.060875,-0.9079130000000077
Simple random,25,4.756875,-0.07799499999999959,0.1225,-0.9979999999999989,62.282875000000004,-0.6859130000000064
Simple random,26,4.980250000000001,0.14538000000000117,0.1525,2.002000000000001,64.3295,1.3607119999999853
Simple random,27,4.673875000000001,-0.1609949999999989,0.1125,-1.9979999999999984,62.20449999999999,-0.7642880000000218
Simple random,28,4.741499999999999,-0.09337000000000018,0.12125,-1.1229999999999989,62.181999999999995,-0.7867880000000156
Simple random,29,4.823625,-0.011244999999999727,0.135,0.2520000000000022,62.899750000000004,-0.06903800000000615
Simple random,30,4.8525,0.01763000000000048,0.135,0.2520000000000022,63.5545,0.5857119999999867
Simple random,31,4.78075,-0.05411999999999928,0.13125,-0.12299999999999811,63.26025,0.29146199999998856
Simple random,32,4.857375000000001,0.02250500000000155,0.11125,-2.1229999999999984,63.461999999999996,0.49321199999998555
Simple random,33,4.920749999999999,0.08587999999999951,0.13875,0.6270000000000026,64.179125,1.2103369999999884
Simple random,34,4.78525,-0.04962,0.12375,-0.8729999999999988,63.23287500000001,0.2640869999999964
Simple random,35,4.871125,0.03625500000000059,0.13875,0.6270000000000026,62.944375,-0.024413000000009788
Simple random,36,4.8725,0.03763000000000005,0.1375,0.5020000000000024,62.655,-0.3137880000000095
Simple random,37,4.805,-0.02986999999999984,0.12875,-0.37299999999999833,62.70199999999999,-0.26678800000001957
Simple random,38,4.812375,-0.022494999999999266,0.12,-1.247999999999999,63.74475,0.7759619999999927
Simple random,39,4.800375,-0.03449499999999972,0.135,0.2520000000000022,62.48012500000001,-0.4886630000000025
Simple random,40,4.8466249999999995,0.01175499999999996,0.1325,0.002000000000002,62.206624999999995,-0.7621630000000152
Simple random,41,4.704625,-0.1302449999999995,0.1225,-0.9979999999999989,63.839375,0.8705869999999862
Simple random,42,4.9385,0.10363000000000078,0.135,0.2520000000000022,63.440250000000006,0.4714619999999954
Simple random,43,4.826124999999999,-0.008745000000000225,0.13875,0.6270000000000026,61.85674999999999,-1.1120380000000196
Simple random,44,4.775499999999999,-0.05937000000000037,0.1275,-0.49799999999999844,61.553999999999995,-1.4147880000000157
Simple random,45,4.829625,-0.0052449999999995,0.12875,-0.37299999999999833,62.689375,-0.27941300000001235
Simple random,46,4.878875000000001,0.04400500000000118,0.12875,-0.37299999999999833,63.5525,0.5837119999999913
Simple random,47,4.881,0.04613000000000067,0.14625,1.3770000000000004,63.717625,0.7488369999999875
